group,sibling,seqid,uniprot_id,url,description,gene,length,probability,percent_coverage,num_unique_peptide,num_peptide,percent_share_of_spectrum_ids,organism,other_seqids
1,a,P40327,PRS4_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/PRS4_YEAST"")",26S protease regulatory subunit 4 homolog; Tat-binding homolog 5,RPT2,437,1.0,62.0,64,64,18.42,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
2,a,Q12377,RPN6_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/RPN6_YEAST"")",26S proteasome regulatory subunit RPN6; Proteasome non-ATPase subunit 4,RPN6,434,1.0,18.4,7,7,1.72,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
3,a,P19262,ODO2_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/ODO2_YEAST"")","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial; 2-oxoglutarate dehydrogenase complex component E2; OGDC-E2; Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex",KGD2,463,1.0,16.2,4,4,1.2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
4,a,Q03940,RUVB1_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/RUVB1_YEAST"")",RuvB-like protein 1; RUVBL1; TIP49-homology protein 1; TIP49a homolog,RVB1,463,1.0,5.4,2,2,0.6,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
5,a,P33298,PRS6B_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/PRS6B_YEAST"")",26S protease regulatory subunit 6B homolog; Protein YNT1; Tat-binding homolog 2,RPT3,428,1.0,77.1,59,60,22.88,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
6,a,P60010,ACT_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/ACT_YEAST"")",Actin,ACT1,375,1.0,11.7,4,4,0.91,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
7,a,P33441,MFT1_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/MFT1_YEAST"")",THO complex subunit MFT1; Mitochondrial fusion target protein 1,MFT1,392,1.0,9.4,3,3,0.89,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
8,a,P33297,PRS6A_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/PRS6A_YEAST"")",26S protease regulatory subunit 6A; Tat-binding protein homolog 1; TBP-1,RPT5,434,1.0,73.3,67,67,19.7,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
9,a,P53549,PRS10_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/PRS10_YEAST"")",26S protease subunit RPT4; 26S protease subunit SUG2; Proteasomal cap subunit,RPT4,437,1.0,65.4,68,69,20.62,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
10,a,Q12464,RUVB2_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/RUVB2_YEAST"")",RuvB-like protein 2; RUVBL2; TIP49-homology protein 2; TIP49b homolog,RVB2,471,1.0,12.1,5,5,1.48,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
11,a,P33299,PRS7_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/PRS7_YEAST"")",26S protease regulatory subunit 7 homolog; Protein CIM5; Tat-binding homolog 3,RPT1,467,1.0,27.4,10,11,2.47,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
12,a,Q99312,ISN1_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/ISN1_YEAST"")",IMP-specific 5'-nucleotidase 1,ISN1,450,0.9999,5.3,2,2,0.51,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
13,a,P17261,ERS1_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/ERS1_YEAST"")",Cystine transporter; ERD suppressor; Transmembrane protein ERS1,ERS1,260,0.9724,3.1,1,1,0.3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
14,a,P40016,RPN3_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/RPN3_YEAST"")",26S proteasome regulatory subunit RPN3,RPN3,523,0.8794,2.9,1,1,0.3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
15,a,P38789,SSF1_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/SSF1_YEAST"")",Ribosome biogenesis protein SSF1,SSF1,453,0.8123,7.5,2,2,0.26,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
