group,sibling,seqid,uniprot_id,url,description,gene,length,probability,percent_coverage,num_unique_peptide,num_peptide,percent_share_of_spectrum_ids,organism,other_seqids
1,a,P33755,NPL4_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/NPL4_YEAST"")",Nuclear protein localization protein 4; HMG-CoA reductase degradation protein 4,NPL4,580,1.0,14.0,7,7,5.57,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
2,a,P40327,PRS4_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/PRS4_YEAST"")",26S protease regulatory subunit 4 homolog; Tat-binding homolog 5,RPT2,437,1.0,12.4,4,4,2.58,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
3,a,P11075,SEC7_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/SEC7_YEAST"")",Protein transport protein SEC7,SEC7,2009,1.0,2.3,4,4,2.9,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
4,a,P40016,RPN3_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/RPN3_YEAST"")",26S proteasome regulatory subunit RPN3,RPN3,523,1.0,42.4,28,28,19.55,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
5,a,P60010,ACT_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/ACT_YEAST"")",Actin,ACT1,375,1.0,13.1,4,4,3.23,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
6,a,P38764,RPN1_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/RPN1_YEAST"")",26S proteasome regulatory subunit RPN1; HMG-CoA reductase degradation protein 2; Proteasome non-ATPase subunit 1,RPN1,993,1.0,11.0,10,10,7.14,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
7,a,P19882,HSP60_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/HSP60_YEAST"")","Heat shock protein 60, mitochondrial; CPN60; P66; Stimulator factor I 66 kDa component",HSP60,572,1.0,55.4,52,52,45.23,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
8,a,P23638,PSA3_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/PSA3_YEAST"")",Proteasome subunit alpha type-3; Macropain subunit Y13; Multicatalytic endopeptidase complex subunit Y13; Proteasome component Y13; Proteinase YSCE subunit 13,PRE9,258,0.9926,5.0,1,1,0.81,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
9,a,P21242,PSA7_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/PSA7_YEAST"")",Probable proteasome subunit alpha type-7; Macropain subunit C1; Multicatalytic endopeptidase complex subunit C1; Proteasome component C1; Proteinase YSCE subunit 1,PRE10,288,0.9926,4.5,1,1,0.81,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
10,a,Q02821,IMA1_YEAST,"=HYPERLINK(""http://uniprot.org/uniprot/IMA1_YEAST"")",Importin subunit alpha; Karyopherin subunit alpha; Karyopherin-60; Serine-rich RNA polymerase I suppressor protein,SRP1,542,0.9889,3.5,2,2,1.08,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,
